Dataset,IR,Method,Recall,Precision,F1,BAcc,AUC,cost_r1,cost_r2,cost_r5,cost_r10,cost_r20,cost_r50
digits_9,8.983333333333333,RF+Threshold,0.7574074074074074,1.0,0.859543284253904,0.8787037037037037,0.9924658940177038,0.024300526152893843,0.048601052305787686,0.1215026307644692,0.2430052615289384,0.4860105230578768,1.215026307644692
digits_9,8.983333333333333,RUSBoost,0.9037037037037037,0.5474062623282893,0.6807300157927347,0.9097943660895157,0.9699086106899623,0.08533219849375838,0.09497575569998969,0.12390642731868359,0.1721242133498401,0.2685597854121531,0.5578665015990921
digits_9,8.983333333333333,RandomBalance,0.9222222222222222,0.8641146183076551,0.8907994493866913,0.9528640956057537,0.9913718447454066,0.02262870112452285,0.03041576395336841,0.05377695243990509,0.09271226658413288,0.17058289487258846,0.40419477973795526
digits_9,8.983333333333333,RandomForest,0.737037037037037,1.0,0.8462503142541195,0.8685185185185186,0.9951626094810172,0.026339626534612606,0.05267925306922521,0.13169813267306302,0.26339626534612604,0.5267925306922521,1.3169813267306303
digits_9,8.983333333333333,SMOTEBoost,0.9,0.9843069348951702,0.9396470131072174,0.9491753621526583,0.995799623726467,0.011500051583617044,0.021516042504900443,0.051564015268750645,0.10164396987516765,0.20180387908800163,0.5022836067265036
digits_9,8.983333333333333,SPE,0.9351851851851851,0.9424748839377323,0.9378484531248473,0.9642937226872556,0.9949061687341892,0.012427009181883834,0.018917259878262663,0.038388011967399154,0.07083926544929331,0.13574177241308158,0.3304492933044465
ecoli4,15.8,ASE-Stacking,0.7666666666666667,0.7222222222222222,0.718994708994709,0.8701719576719577,0.9444733796296296,0.03861574480538484,0.05247292947029558,0.0940444834650278,0.1633304067895815,0.3019022534386889,0.7176177933860112
ecoli4,15.8,ASE-Static,0.7666666666666667,0.7433333333333334,0.7303174603174603,0.8733134920634921,0.9726645171957672,0.032674860989171786,0.04650278021656424,0.08798653789874158,0.15712613403570383,0.2954053263096283,0.7102429031314018
ecoli4,15.8,BalancedBagging,0.9,0.4556974506974507,0.5697393444761866,0.906167328042328,0.978093998015873,0.08836698858647936,0.09429323968393327,0.112071992976295,0.14170324846356452,0.2009657594381036,0.37875329236172084
ecoli4,15.8,DSS,0.75,0.7411111111111112,0.7278835978835978,0.8655175264550264,0.9704943783068782,0.032674860989171786,0.047512437810945274,0.09202516827626574,0.16621305238513315,0.314588820602868,0.7597161252560726
ecoli4,15.8,EasyEnsemble,0.9166666666666666,0.472010582010582,0.6157953157953158,0.9235201719576719,0.9845527447089947,0.0704126426690079,0.07534386889083991,0.09013754755633596,0.11479367866549604,0.16410594088381622,0.3120427275387767
ecoli4,15.8,GB+Threshold,0.6833333333333333,0.7811111111111111,0.7083068783068783,0.8363921957671958,0.9811280588624338,0.028694761486684223,0.04746853965466783,0.10378987415861868,0.1976587649985367,0.3853965466783728,0.9486098917178812
ecoli4,15.8,GradientBoost,0.6833333333333333,0.8311111111111111,0.7265608465608466,0.836400462962963,0.9784866898148148,0.02870939420544337,0.047512437810945274,0.10392156862745099,0.1979367866549605,0.3859672227099795,0.9500585308750367
ecoli4,15.8,RF+Threshold,0.65,0.9777777777777777,0.758095238095238,0.8244708994708995,0.9909556878306879,0.021802750951126718,0.04261047702663155,0.10503365525314604,0.20907228563067018,0.41714954638571844,1.0413813286508633
ecoli4,15.8,RUSBoost,0.8666666666666667,0.5466137566137567,0.6539020239020239,0.9069361772486773,0.9753389550264551,0.057550482879719055,0.0654521510096576,0.08915715539947322,0.12866549604916594,0.20768217734855138,0.44473222124670764
ecoli4,15.8,RandomBalance,0.8333333333333334,0.7339682539682539,0.7721019721019721,0.9061342592592593,0.9713417658730158,0.02970441908106526,0.039596136962247584,0.06927129060579455,0.11872988001170617,0.21764705882352942,0.5143985952589991
ecoli4,15.8,RandomForest,0.65,0.8977777777777778,0.7303703703703703,0.8229001322751323,0.9862661210317459,0.024743927421714954,0.04553702077846064,0.10791630084869767,0.2118817676324261,0.41981270119988295,1.0436055019022534
ecoli4,15.8,SMOTEBoost,0.8,0.8077777777777778,0.7932804232804233,0.8936838624338624,0.9245329034391535,0.023734269827333915,0.03558677202224173,0.07114427860696518,0.13040678958150426,0.2489318115305824,0.6045068773778168
ecoli4,15.8,SPE,0.85,0.7577777777777778,0.7799807599807599,0.9134176587301588,0.9800636574074074,0.030684811237928006,0.039581504243488434,0.06627158326016974,0.11075504828797192,0.19972197834357625,0.46662276851038925
german_credit,2.3333333333333335,ASE-Stacking,0.8722222222222222,0.43033111498188703,0.5756913073224047,0.6877777777777777,0.7814047619047619,0.386,0.42433333333333334,0.5393333333333333,0.731,1.1143333333333334,2.2643333333333335
german_credit,2.3333333333333335,ASE-Static,0.638888888888889,0.548122140626886,0.5882942463117014,0.7058730158730159,0.783968253968254,0.2673333333333333,0.37566666666666665,0.7006666666666667,1.2423333333333335,2.3256666666666663,5.575666666666667
german_credit,2.3333333333333335,BalancedBagging,0.7277777777777777,0.4662883956308085,0.5674383170155067,0.684126984126984,0.7495674603174602,0.3333333333333333,0.415,0.66,1.0683333333333331,1.8850000000000002,4.335
german_credit,2.3333333333333335,DSS,0.6833333333333333,0.5359682858462709,0.5992853230898045,0.7138095238095238,0.7863888888888888,0.274,0.369,0.654,1.129,2.0789999999999997,4.929
german_credit,2.3333333333333335,EasyEnsemble,0.7533333333333334,0.49367194151117355,0.5959218705725882,0.7107142857142857,0.7708968253968254,0.3063333333333333,0.38033333333333336,0.6023333333333334,0.9723333333333333,1.7123333333333335,3.9323333333333332
german_credit,2.3333333333333335,GB+Threshold,0.43888888888888894,0.607890150793219,0.506470381904084,0.6584920634920636,0.7751468253968254,0.25366666666666665,0.422,0.9269999999999999,1.7686666666666668,3.452,8.502
german_credit,2.3333333333333335,GradientBoost,0.4577777777777778,0.6161361814263026,0.5228178176598136,0.6667460317460318,0.7780396825396826,0.24966666666666668,0.41233333333333333,0.9003333333333333,1.7136666666666664,3.340333333333333,8.220333333333334
german_credit,2.3333333333333335,RF+Threshold,0.38666666666666666,0.6794032414806989,0.490450717025085,0.654047619047619,0.7857857142857142,0.239,0.423,0.975,1.895,3.735,9.254999999999999
german_credit,2.3333333333333335,RUSBoost,0.7611111111111111,0.45593782824409984,0.5688833889377779,0.6848412698412699,0.7303095238095239,0.3456666666666666,0.41733333333333333,0.6323333333333333,0.9906666666666666,1.7073333333333334,3.8573333333333335
german_credit,2.3333333333333335,RandomBalance,0.6522222222222223,0.5437985926439572,0.5894225474466122,0.7065873015873017,0.7801190476190476,0.27166666666666667,0.376,0.6890000000000001,1.2106666666666668,2.254,5.384
german_credit,2.3333333333333335,RandomForest,0.35333333333333333,0.6754741857305163,0.46170889098003026,0.6402380952380952,0.7863253968253968,0.245,0.439,1.021,1.9909999999999999,3.9309999999999996,9.751
german_credit,2.3333333333333335,SMOTEBoost,0.5744444444444444,0.5138215529268053,0.5367993701099636,0.6686507936507937,0.7455873015873016,0.2936666666666667,0.42133333333333334,0.8043333333333333,1.4426666666666668,2.719333333333333,6.549333333333333
german_credit,2.3333333333333335,SPE,0.7644444444444445,0.4994853480362794,0.6034464822797706,0.7172222222222222,0.7883333333333333,0.3016666666666667,0.37233333333333335,0.5843333333333334,0.9376666666666666,1.6443333333333332,3.764333333333333
heart_disease,1.1956521739130435,ASE-Stacking,0.9081128747795415,0.6653328394226788,0.7653007025892732,0.7601170434503768,0.8926620704398481,0.25320582877959924,0.2950273224043716,0.4204918032786885,0.6295992714025501,1.0478142076502732,2.3024590163934424
heart_disease,1.1956521739130435,ASE-Static,0.7562610229276896,0.827774304970207,0.78873798673624,0.8114638447971781,0.9003848003848004,0.1836247723132969,0.29468123861566486,0.6278506375227687,1.1831329690346084,2.293697632058288,5.625391621129326
heart_disease,1.1956521739130435,BalancedBagging,0.7533509700176367,0.735715558971835,0.7421162208197469,0.7625340708674042,0.8505665116776229,0.23657559198542805,0.3488342440801457,0.6856102003642986,1.246903460837887,2.3694899817850636,5.737249544626594
heart_disease,1.1956521739130435,DSS,0.7828042328042328,0.8233992821456589,0.800947770287176,0.8196849446849447,0.9003954892843782,0.1769216757741348,0.2758834244080146,0.5727686703096538,1.0675774134790528,2.0571948998178504,5.026047358834244
heart_disease,1.1956521739130435,EasyEnsemble,0.7970017636684303,0.8064473314392709,0.7989858055725682,0.8166827000160333,0.9034498423387312,0.18145719489981788,0.2738797814207651,0.5511475409836065,1.0132604735883424,1.9374863387978143,4.710163934426229
heart_disease,1.1956521739130435,GB+Threshold,0.7537918871252205,0.8002473914402788,0.7737732249443096,0.7960878627545294,0.8922558922558923,0.20010928961748634,0.31227686703096535,0.6487795992714026,1.2096174863387976,2.331293260473588,5.69632058287796
heart_disease,1.1956521739130435,GradientBoost,0.7420634920634921,0.8161160937827604,0.7758227564155843,0.8003246753246753,0.8958473625140292,0.19451730418943533,0.3121129326047358,0.6648998178506375,1.2528779599271402,2.4288342440801456,5.956703096539162
heart_disease,1.1956521739130435,RF+Threshold,0.7584656084656084,0.8347166972069521,0.7929485243227571,0.8155964405964405,0.9025038747260969,0.17927140255009108,0.2892714025500911,0.619271402550091,1.169271402550091,2.269271402550091,5.569271402550091
heart_disease,1.1956521739130435,RUSBoost,0.7318342151675485,0.8267382191540112,0.7748981448738416,0.8002605419272086,0.8819638180749292,0.193551912568306,0.3156648451730419,0.6820036429872495,1.292568306010929,2.513697632058288,6.177085610200364
heart_disease,1.1956521739130435,RandomBalance,0.7444444444444444,0.8205459594371021,0.77250420490641,0.7984848484848485,0.9020709742931964,0.1968488160291439,0.31335154826958106,0.6628597449908925,1.2453734061930783,2.41040072859745,5.905482695810565
heart_disease,1.1956521739130435,RandomForest,0.7658730158730158,0.8306297779053498,0.7953336506023017,0.8162698412698413,0.9035847896959007,0.17914389799635702,0.2858105646630237,0.6058105646630237,1.1391438979963568,2.205810564663024,5.405810564663024
heart_disease,1.1956521739130435,SMOTEBoost,0.7584656084656084,0.7888682117667626,0.7705597425312756,0.7913540163540164,0.8723558334669446,0.20557377049180328,0.3155737704918033,0.6455737704918032,1.1955737704918035,2.2955737704918033,5.595573770491803
